state,year,itc,rnd,G_rnd,G_itc,delta_rnd,has_rnd,delta_itc,has_itc,G_both,has_both
IL,1996,.00133,.00078,1991,1990,.000010000018,1,.000080000027,1,1990,1
IL,1997,.00144,.00078,1991,1990,0,1,.00011000002,1,1990,1
IL,1998,.0015,.00076999998,1991,1990,-.000010000018,1,.000059999991,1,1990,1
IL,1999,.0014900001,.00076000002,1991,1990,-9.9999597e-06,1,-9.9999597e-06,1,1990,1
IL,2000,.00148,.000059999998,1991,1990,-.00070000003,1,-.000010000076,1,1990,1
IL,2001,.0014900001,.000070000002,1991,1990,.000010000003,1,.000010000076,1,1990,1
IL,2002,.0014900001,.000070000002,1991,1990,0,1,0,1,1990,1
IL,2003,.0015,.000070000002,1991,1990,0,1,9.9999597e-06,1,1990,1
IL,2004,.00151,.000070000002,1991,1990,0,1,9.9999597e-06,1,1990,1
IL,2005,.00151,.000079999998,1991,1990,9.9999961e-06,1,0,1,1990,1
IL,2006,.00151,.000070000002,1991,1990,-9.9999961e-06,1,0,1,1990,1
IL,2007,.00152,.000079999998,1991,1990,9.9999961e-06,1,.000010000076,1,1990,1
IL,2008,.00153,.000070000002,1991,1990,-9.9999961e-06,1,9.9999597e-06,1,1990,1
IL,2009,.00152,.000070000002,1991,1990,0,1,-9.9999597e-06,1,1990,1
IL,2010,.00152,.000070000002,1991,1990,0,1,0,1,1990,1
IN,1990,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1991,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1992,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1993,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1994,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1995,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1996,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1997,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1998,0,.00269,1990,2003,0,1,0,0,1990,1
IN,1999,0,.00269,1990,2003,0,1,0,0,1990,1
IN,2000,0,.00269,1990,2003,0,1,0,0,1990,1
IN,2001,0,.00269,1990,2003,0,1,0,0,1990,1
IN,2002,0,.00269,1990,2003,0,1,0,0,1990,1
IN,2003,.0070000002,.00269,1990,2003,0,1,.0070000002,1,1990,1
IN,2004,.0069200001,.00269,1990,2003,0,1,-.000080000143,1,1990,1
IN,2005,.00691,.00269,1990,2003,0,1,-.000010000076,1,1990,1
IN,2006,.0069400002,.00269,1990,2003,0,1,.000030000228,1,1990,1
IN,2007,.00666,.00269,1990,2003,0,1,-.00028000027,1,1990,1
IN,2008,.0067799999,.00269,1990,2003,0,1,.00011999998,1,1990,1
IN,2009,.0067099999,.00269,1990,2003,0,1,-.000070000067,1,1990,1
IN,2010,.0073000002,.00211,1990,2003,-.00057999999,1,.0005900003,1,1990,1
KY,1990,0,0,0,1992,0,0,0,0,1992,0
KY,1991,0,0,0,1992,0,0,0,0,1992,0
KY,1992,.02565,0,0,1992,0,0,.02565,1,1992,1
KY,1993,.025660001,0,0,1992,0,0,.000010000542,1,1992,1
KY,1994,.025660001,0,0,1992,0,0,0,1,1992,1
KY,1995,.025669999,0,0,1992,0,0,9.9986792e-06,1,1992,1
KY,1996,.025669999,0,0,1992,0,0,0,1,1992,1
KY,1997,.025669999,0,0,1992,0,0,0,1,1992,1
KY,1998,.02565,0,0,1992,0,0,-.000019999221,1,1992,1
KY,1999,.02564,0,0,1992,0,0,-.000010000542,1,1992,1
KY,2000,.025660001,0,0,1992,0,0,.000020001084,1,1992,1
KY,2001,.025669999,0,0,1992,0,0,9.9986792e-06,1,1992,1
KY,2002,.02565,0,0,1992,0,0,-.000019999221,1,1992,1
KY,2003,.025590001,0,0,1992,0,0,-.000059999526,1,1992,1
KY,2004,.02555,0,0,1992,0,0,-.000040000305,1,1992,1
KY,2005,.023809999,0,0,1992,0,0,-.0017400011,1,1992,1
KY,2006,.02386,0,0,1992,0,0,.000050000846,1,1992,1
KY,2007,.022430001,0,0,1992,0,0,-.0014299992,1,1992,1
KY,2008,.022430001,0,0,1992,0,0,0,1,1992,1
KY,2009,.022399999,0,0,1992,0,0,-.000030001625,1,1992,1
KY,2010,.022369999,0,0,1992,0,0,-.000029999763,1,1992,1
LA,1990,0,0,2003,1996,0,0,0,0,1996,0
LA,1991,0,0,2003,1996,0,0,0,0,1996,0
LA,1992,0,0,2003,1996,0,0,0,0,1996,0
LA,1993,0,0,2003,1996,0,0,0,0,1996,0
LA,1994,0,0,2003,1996,0,0,0,0,1996,0
LA,1995,0,0,2003,1996,0,0,0,0,1996,0
LA,1996,.00047999999,0,2003,1996,0,0,.00047999999,1,1996,1
LA,1997,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,1998,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,1999,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,2000,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,2001,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,2002,.00047999999,0,2003,1996,0,0,0,1,1996,1
LA,2003,.00047999999,.0020699999,2003,1996,.0020699999,1,0,1,1996,1
LA,2004,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2005,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2006,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2007,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2008,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2009,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
LA,2010,.00047999999,.0020699999,2003,1996,0,1,0,1,1996,1
MA,1990,.00057999999,0,1991,1990,0,0,0,1,1990,1
MA,1991,.00057999999,.0026799999,1991,1990,.0026799999,1,0,1,1990,1
MA,1992,.00057999999,.0026799999,1991,1990,0,1,0,1,1990,1
MA,1993,.00057999999,.0026799999,1991,1990,0,1,0,1,1990,1
MA,1994,.0016,.0026,1991,1990,-.000079999911,1,.00102,1,1990,1
